Pangu_Event,Is_Top_Match_Itself,1st_Match_ERA5,1st_Sim_Score,2nd_Match_ERA5,2nd_Sim_Score,3rd_Match_ERA5,3rd_Sim_Score
FL_2020_000052_COD,False,FL_2002_000376_RUS,0.53864944,FL_2006_000047_COD,0.51327074,FL_2012_000037_PSE,0.49237812
FL_2021_000134_NPL,True,FL_2021_000134_NPL,0.9536164,FL_2000_000476_NPL,0.8872724,FL_2003_000341_NPL,0.8591966
FL_2021_000127_NER,True,FL_2021_000127_NER,0.8702129,FL_2012_000141_NER,0.5264047,FL_2009_000174_NER,0.50888354
FL_2019_000104_THA,True,FL_2019_000104_THA,0.8445932,FL_2002_000641_THA,0.75274765,FL_2005_000153_THA,0.73419535
FL_2021_000173_IDN,True,FL_2021_000173_IDN,0.6935787,FL_2000_000258_IDN,0.55704296,FL_2014_000154_IDN,0.55172914
FL_2019_000133_SOM,False,FL_2013_000052_SOM,0.66066754,FL_2013_000141_SOM,0.6380279,FL_2015_000040_SOM,0.6284387
FL_2019_000119_CMR,True,FL_2019_000119_CMR,0.78847337,FL_2013_000123_CMR,0.7101971,FF_2017_000122_CMR,0.68563336
FL_2019_000162_MYS,False,FL_2022_000265_YEM,0.5138529,FL_2016_000075_BGD,0.4845849,FL_2021_000147_THA,0.47900262
FL_2018_000043_TZA,True,FL_2018_000043_TZA,0.71296996,FL_2014_000053_TZA,0.64131504,FL_2020_000125_TZA,0.61881125
FL_2022_000277_SDN,True,FL_2022_000277_SDN,0.71923035,FL_2012_000129_SDN,0.6734035,FL_2013_000104_MLI,0.62496257
FL_2018_000058_COL,False,FL_2014_000163_COL,0.8794331,FL_2006_000044_COL,0.8217082,FL_2008_000076_COL,0.8192501
FL_2018_000105_BGD,True,FL_2018_000105_BGD,0.6129049,FF_2020_000123_YEM,0.5326926,FL_2022_000217_BGD,0.5245562
FL_2020_000237_LKA,True,FL_2020_000237_LKA,0.87510526,FL_2010_000196_LKA,0.693258,FL_2014_000162_LKA,0.656212
FL_2022_000382_ZAF,True,FL_2022_000382_ZAF,0.79225683,FL_2014_000038_ZAF,0.63609105,FL_2022_000201_ZAF,0.5083858
FL_2021_000051_SOM,False,FL_2013_000052_SOM,0.6629259,FL_2021_000051_SOM,0.59617347,FL_2011_000161_SOM,0.5845417
FL_2018_000414_IRQ,True,FL_2018_000414_IRQ,0.81877095,FL_2010_000019_MEX,0.58661723,FL_2021_000208_IRQ,0.54180664
FL_2022_000305_GIN,False,FL_2020_000202_GIN,0.81577265,FL_2001_000549_GIN,0.7183643,FL_2022_000305_GIN,0.6995852
FL_2021_000204_BRA,True,FL_2021_000204_BRA,0.63708305,FL_2013_000157_BRA,0.62375283,FL_2009_000239_BRA,0.60778123
FF_2018_000041_SOM,True,FF_2018_000041_SOM,0.7521663,FL_2016_000046_SOM,0.59598833,FL_2011_000161_SOM,0.5681616
FL_2018_000419_PRY,True,FL_2018_000419_PRY,0.6605029,FL_2002_000322_CHL,0.59151137,FL_2005_000103_SLV,0.5439099
FL_2020_000054_BDI,False,FL_2021_000039_BDI,0.8713246,FL_2020_000054_BDI,0.8171809,FL_2009_000075_BDI,0.77614486
FL_2021_000061_MYS,False,FL_2011_000108_SEN,0.57736087,FL_2021_000061_MYS,0.55235904,FL_2003_000220_NAM,0.5453589
FF_2019_000054_YEM,True,FF_2019_000054_YEM,0.85576934,FL_2022_000265_YEM,0.79853845,FL_2021_000110_YEM,0.6706698
FL_2019_000020_COL,True,FL_2019_000020_COL,0.863492,FL_2009_000241_COL,0.8384928,FL_2012_000042_COL,0.770283
FL_2022_000332_BEN,True,FL_2022_000332_BEN,0.7380463,FL_2021_000145_BEN,0.7183673,FL_1998_000329_BEN,0.69825494
FL_2020_000154_CIV,True,FL_2020_000154_CIV,0.8185235,FL_2012_000172_MLI,0.680694,FL_2013_000125_BFA,0.5834025
FL_2018_000128_SDN,False,FL_2017_000088_SDN,0.87606937,FL_2001_000417_SDN,0.8675516,FL_2010_000139_SDN,0.86513203
FL_2019_000083_NPL,True,FL_2019_000083_NPL,0.93483,SL_2002_000428_NPL,0.89011574,FL_2003_000341_NPL,0.85662556
FF_2022_000309_SLE,True,FF_2022_000309_SLE,0.72436863,FL_2005_000139_SLE,0.5833976,FL_2019_000089_SLE,0.57889295
FL_2020_000212_KHM,True,FL_2020_000212_KHM,0.74924856,FL_2006_000130_KHM,0.6572244,FL_2000_000438_KHM,0.63787967
FL_2020_000038_EGY,True,FL_2020_000038_EGY,0.76474035,FL_2001_000620_DZA,0.6332911,FL_2011_000109_PAK,0.59937876
FF_2020_000055_SOM,True,FF_2020_000055_SOM,0.76495606,FL_2011_000161_SOM,0.58179736,FL_2016_000046_SOM,0.56046396
FL_2019_000131_CIV,False,FL_2009_000170_MRT,0.59436095,FL_2007_000130_CIV,0.5882546,FL_2022_000249_CIV,0.5651924
FL_2019_000081_MMR,True,FL_2019_000081_MMR,0.8966427,FL_2016_000058_MMR,0.891428,FL_1997_000177_MMR,0.85915494
