subject,predicate,object
Marcel_Duchamp,wikiPageWikiLink,Category:1887_births
Marcel_Duchamp,wikiPageWikiLink,Category:People_from_Seine-Maritime
Marcel_Duchamp,wikiPageWikiLink,Category:Dada
Marcel_Duchamp,wikiPageWikiLink,Category:Lycée_Pierre-Corneille_alumni
Marcel_Duchamp,wikiPageWikiLink,Category:French_conceptual_artists
Marcel_Duchamp,wikiPageWikiLink,Category:French_surrealist_artists
Marcel_Duchamp,wikiPageWikiLink,Category:French_male_painters
Marcel_Duchamp,wikiPageWikiLink,Category:French_male_sculptors
Marcel_Duchamp,wikiPageWikiLink,Category:French_emigrants_to_the_United_States
Marcel_Duchamp,wikiPageWikiLink,Category:Pataphysicians
Marcel_Duchamp,wikiPageWikiLink,Category:Chess_Olympiad_competitors
Marcel_Duchamp,wikiPageWikiLink,Category:French_chess_players
Marcel_Duchamp,wikiPageWikiLink,Category:French_chess_writers
Marcel_Duchamp,wikiPageWikiLink,Category:French_experimental_filmmakers
Marcel_Duchamp,wikiPageWikiLink,Category:French_mixed-media_artists
Marcel_Duchamp,wikiPageWikiLink,Category:20th-century_French_male_writers
Marcel_Duchamp,wikiPageWikiLink,Linda_Dalrymple_Henderson
Marcel_Duchamp,wikiPageWikiLink,Category:20th-century_chess_players
Marcel_Duchamp,wikiPageWikiLink,Category:20th-century_French_male_artists
Marcel_Duchamp,wikiPageWikiLink,Category:Sibling_artists
Marcel_Duchamp,wikiPageWikiLink,Category:Oulipo_members
Marcel_Duchamp,wikiPageWikiLink,Category:People_from_Greenwich_Village
Marcel_Duchamp,wikiPageWikiLink,Category:People_with_acquired_American_citizenship
Marcel_Duchamp,wikiPageWikiLink,Bourgeois
Marcel_Duchamp,wikiPageWikiLink,Katherine_Dreier
Marcel_Duchamp,wikiPageWikiLink,Category:20th-century_French_non-fiction_writers
Marcel_Duchamp,wikiPageWikiLink,File:Etant_donnes.jpg
Marcel_Duchamp,wikiPageWikiLink,File:Duchamp_-_Nude_Descending_a_Staircase.jpg
Marcel_Duchamp,wikiPageWikiLink,"File:Marcel_Duchamp,_1911-12,_Nude_(Study),_Sad_Young_Man_on_a_Train_(Nu_-esquisse-,_jeune_homme_triste_dans_un_train),_Peggy_Guggenheim_Collection,_Venice.jpg"
Marcel_Duchamp,wikiPageWikiLink,"File:Man_Ray,_1920,_Three_Heads_(Joseph_Stella_and_Marcel_Duchamp),_gelatin_silver_print,_20.7_x_15.7_cm,_Museum_of_Modern_Art.jpg"
Marcel_Duchamp,wikiPageWikiLink,File:Duchamp_LargeGlass.jpg
Marcel_Duchamp,wikiPageWikiLink,"File:Marcel_Duchamp,_1919,_L.H.O.O.Q.jpg"
Marcel_Duchamp,wikiPageWikiLink,Category:Sportspeople_from_Seine-Maritime
Marcel_Duchamp,wikiPageWikiLink,Category:Académie_Julian_alumni
Marcel_Duchamp,wikiPageWikiLink,"File:Marcel_Duchamp,_photo_Man_Ray,_391_n._13,_July_1920.jpg"
Marcel_Duchamp,wikiPageWikiLink,Abstract_Expressionism
Marcel_Duchamp,wikiPageWikiLink,Anti-war
Marcel_Duchamp,wikiPageWikiLink,Chess_master
Marcel_Duchamp,wikiPageWikiLink,Jura_mountains
Marcel_Duchamp,wikiPageWikiLink,LHOOQ
Marcel_Duchamp,wikiPageWikiLink,Symbolism_(arts)
Marcel_Duchamp,wikiPageWikiLink,"The_Bride_Stripped_Bare_By_Her_Bachelors,_Even"
Marcel_Duchamp,wikiPageWikiLink,Cabaret_Voltaire_(Zurich)
Marcel_Duchamp,wikiPageWikiLink,Centre_Georges_Pompidou
Marcel_Duchamp,wikiPageWikiLink,Category:French_parodists
Marcel_Duchamp,wikiPageWikiLink,File:Duchamp_Mile_of_String.jpg
Marcel_Duchamp,wikiPageWikiLink,Surrealists
Marcel_Duchamp,wikiPageWikiLink,Futurism_(art)
Marcel_Duchamp,wikiPageWikiLink,The_Morgan_Library_&_Museum
Marcel_Duchamp,wikiPageWikiLink,Found_objects
Marcel_Duchamp,wikiPageWikiLink,Manuscripts
Marcel_Duchamp,wikiPageWikiLink,Tate_Gallery
Marcel_Duchamp,wikiPageWikiLink,Woodcarving
Marcel_Duchamp,wikiPageWikiLink,Puteaux_Group
Marcel_Duchamp,wikiPageWikiLink,Ubuweb
Marcel_Duchamp,wikiPageWikiLink,Why_Not_Sneeze_Rose_Sélavy%3F
Marcel_Duchamp,wikiPageWikiLink,Alfred_Barr
Marcel_Duchamp,wikiPageWikiLink,Anémic_Cinéma
